starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:59:43 2022	1671883183	0	296	296	294
Sat Dec 24 11:59:46 2022	1671883186	0	296	296	295
Sat Dec 24 11:59:43 2022	1671883183	0	296	296	295
Sat Dec 24 11:59:45 2022	1671883185	0	296	296	296
Sat Dec 24 11:59:44 2022	1671883184	0	296	296	295
Sat Dec 24 11:59:44 2022	1671883184	0	296	296	295
Sat Dec 24 11:59:43 2022	1671883183	0	296	296	296
Sat Dec 24 11:59:43 2022	1671883183	0	296	296	296
Sat Dec 24 11:59:44 2022	1671883184	0	296	296	295
Sat Dec 24 11:59:45 2022	1671883185	0	296	296	296
Sat Dec 24 11:59:43 2022	1671883183	0	296	296	295
Sat Dec 24 11:59:45 2022	1671883185	0	296	296	295
Sat Dec 24 11:59:45 2022	1671883185	0	296	296	296
Sat Dec 24 11:59:44 2022	1671883184	0	296	296	296
Sat Dec 24 11:59:42 2022	1671883182	0	296	297	296
Sat Dec 24 11:59:43 2022	1671883183	0	296	297	296
Sat Dec 24 11:59:43 2022	1671883183	0	296	297	295
Sat Dec 24 11:59:44 2022	1671883184	0	297	297	296
Sat Dec 24 11:59:45 2022	1671883185	0	297	297	296
Sat Dec 24 11:59:43 2022	1671883183	0	297	297	296
Sat Dec 24 11:59:43 2022	1671883183	0	297	297	295
Sat Dec 24 11:59:43 2022	1671883183	0	297	297	295
Sat Dec 24 11:59:44 2022	1671883184	0	297	297	296
Sat Dec 24 11:59:41 2022	1671883181	0	297	297	297
Sat Dec 24 11:59:45 2022	1671883185	0	297	297	297
Sat Dec 24 11:59:44 2022	1671883184	0	297	297	297
Sat Dec 24 11:59:44 2022	1671883184	0	297	297	297
Sat Dec 24 11:59:46 2022	1671883186	0	297	297	297
Sat Dec 24 11:59:44 2022	1671883184	0	297	297	297
Sat Dec 24 11:59:44 2022	1671883184	0	298	298	297
Sat Dec 24 11:59:43 2022	1671883183	0	298	298	297
Sat Dec 24 11:59:44 2022	1671883184	0	298	298	297
Sat Dec 24 11:59:44 2022	1671883184	0	298	298	297
Sat Dec 24 11:59:45 2022	1671883185	0	298	298	297
Sat Dec 24 11:59:46 2022	1671883186	0	298	298	298
Sat Dec 24 11:59:46 2022	1671883186	0	298	298	298
Sat Dec 24 11:59:45 2022	1671883185	0	298	298	298
Sat Dec 24 11:59:45 2022	1671883185	0	298	298	297
Sat Dec 24 11:59:45 2022	1671883185	0	298	298	298
Sat Dec 24 11:59:44 2022	1671883184	0	298	298	297
Sat Dec 24 11:59:44 2022	1671883184	0	298	298	296
Sat Dec 24 11:59:46 2022	1671883186	0	298	298	298
Sat Dec 24 11:59:43 2022	1671883183	0	298	298	298
Sat Dec 24 11:59:44 2022	1671883184	0	298	298	295
Sat Dec 24 11:59:42 2022	1671883182	0	298	298	298
Sat Dec 24 11:59:45 2022	1671883185	0	298	299	298
Sat Dec 24 11:59:45 2022	1671883185	0	299	299	298
Sat Dec 24 11:59:41 2022	1671883181	0	299	299	297
Sat Dec 24 11:59:44 2022	1671883184	0	299	299	298
Sat Dec 24 11:59:44 2022	1671883184	0	299	299	296
Sat Dec 24 11:59:44 2022	1671883184	0	299	299	296
Sat Dec 24 11:59:43 2022	1671883183	0	299	299	298
Sat Dec 24 11:59:45 2022	1671883185	0	299	299	298
Sat Dec 24 11:59:41 2022	1671883181	1	298	299	297
Sat Dec 24 11:59:44 2022	1671883184	0	299	299	298
