starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:58:15 2022	1671883095	0	222	223	221
Sat Dec 24 11:58:15 2022	1671883095	0	223	223	222
Sat Dec 24 11:58:15 2022	1671883095	0	223	223	222
Sat Dec 24 11:58:16 2022	1671883096	0	223	223	222
Sat Dec 24 11:58:15 2022	1671883095	0	223	223	222
Sat Dec 24 11:58:19 2022	1671883099	0	223	223	223
Sat Dec 24 11:58:19 2022	1671883099	0	223	223	223
Sat Dec 24 11:58:18 2022	1671883098	0	223	223	222
Sat Dec 24 11:58:18 2022	1671883098	0	223	224	223
Sat Dec 24 11:58:18 2022	1671883098	0	224	224	222
Sat Dec 24 11:58:16 2022	1671883096	0	224	224	223
Sat Dec 24 11:58:20 2022	1671883100	0	224	224	223
Sat Dec 24 11:58:16 2022	1671883096	0	224	224	223
Sat Dec 24 11:58:18 2022	1671883098	0	224	224	223
Sat Dec 24 11:58:17 2022	1671883097	0	224	224	223
Sat Dec 24 11:58:15 2022	1671883095	0	224	224	224
Sat Dec 24 11:58:17 2022	1671883097	0	224	224	223
Sat Dec 24 11:58:19 2022	1671883099	0	224	224	224
Sat Dec 24 11:58:16 2022	1671883096	0	224	224	224
Sat Dec 24 11:58:15 2022	1671883095	0	224	225	224
Sat Dec 24 11:58:17 2022	1671883097	0	225	225	224
Sat Dec 24 11:58:19 2022	1671883099	0	225	225	224
Sat Dec 24 11:58:15 2022	1671883095	0	225	225	225
Sat Dec 24 11:58:18 2022	1671883098	0	226	226	225
Sat Dec 24 11:58:15 2022	1671883095	0	226	226	226
Sat Dec 24 11:58:17 2022	1671883097	0	226	226	225
Sat Dec 24 11:58:16 2022	1671883096	0	226	226	226
Sat Dec 24 11:58:15 2022	1671883095	0	226	226	226
Sat Dec 24 11:58:17 2022	1671883097	0	226	226	226
Sat Dec 24 11:58:20 2022	1671883100	0	226	226	226
Sat Dec 24 11:58:16 2022	1671883096	0	226	226	225
Sat Dec 24 11:58:18 2022	1671883098	0	226	227	226
Sat Dec 24 11:58:17 2022	1671883097	0	227	227	226
Sat Dec 24 11:58:17 2022	1671883097	0	227	227	226
Sat Dec 24 11:58:17 2022	1671883097	0	227	227	227
Sat Dec 24 11:58:17 2022	1671883097	0	227	227	226
Sat Dec 24 11:58:17 2022	1671883097	0	227	227	227
Sat Dec 24 11:58:19 2022	1671883099	0	227	227	227
Sat Dec 24 11:58:16 2022	1671883096	0	227	227	227
Sat Dec 24 11:58:19 2022	1671883099	0	227	227	226
Sat Dec 24 11:58:18 2022	1671883098	0	227	228	227
Sat Dec 24 11:58:19 2022	1671883099	0	228	228	227
Sat Dec 24 11:58:17 2022	1671883097	0	228	228	227
Sat Dec 24 11:58:15 2022	1671883095	0	228	228	227
Sat Dec 24 11:58:15 2022	1671883095	0	228	228	227
Sat Dec 24 11:58:19 2022	1671883099	0	228	228	227
Sat Dec 24 11:58:17 2022	1671883097	0	228	228	227
Sat Dec 24 11:58:17 2022	1671883097	0	228	228	228
Sat Dec 24 11:58:15 2022	1671883095	1	227	228	227
Sat Dec 24 11:58:17 2022	1671883097	0	228	229	228
Sat Dec 24 11:58:15 2022	1671883095	0	229	229	228
Sat Dec 24 11:58:20 2022	1671883100	0	229	229	228
Sat Dec 24 11:58:19 2022	1671883099	0	229	229	229
Sat Dec 24 11:58:18 2022	1671883098	0	229	229	228
Sat Dec 24 11:58:18 2022	1671883098	0	229	229	229
Sat Dec 24 11:58:16 2022	1671883096	0	229	229	227
Sat Dec 24 11:58:19 2022	1671883099	0	229	229	228
Sat Dec 24 11:58:17 2022	1671883097	0	229	229	228
Sat Dec 24 11:58:16 2022	1671883096	1	229	229	228
Sat Dec 24 11:58:20 2022	1671883100	0	229	229	229
Sat Dec 24 11:58:17 2022	1671883097	0	229	229	229
Sat Dec 24 11:58:17 2022	1671883097	0	229	230	229
Sat Dec 24 11:58:20 2022	1671883100	0	230	230	229
Sat Dec 24 11:58:18 2022	1671883098	0	230	230	229
Sat Dec 24 11:58:17 2022	1671883097	0	230	230	229
Sat Dec 24 11:58:15 2022	1671883095	0	230	230	229
Sat Dec 24 11:58:20 2022	1671883100	0	230	230	228
Sat Dec 24 11:58:18 2022	1671883098	0	230	230	228
Sat Dec 24 11:58:17 2022	1671883097	0	230	230	230
Sat Dec 24 11:58:19 2022	1671883099	0	230	230	230
Sat Dec 24 11:58:20 2022	1671883100	0	230	230	230
Sat Dec 24 11:58:16 2022	1671883096	0	230	230	230
Sat Dec 24 11:58:15 2022	1671883095	0	230	230	230
Sat Dec 24 11:58:19 2022	1671883099	0	230	230	230
Sat Dec 24 11:58:15 2022	1671883095	0	231	231	230
Sat Dec 24 11:58:17 2022	1671883097	0	231	231	230
Sat Dec 24 11:58:15 2022	1671883095	0	231	231	230
Sat Dec 24 11:58:17 2022	1671883097	0	231	231	231
Sat Dec 24 11:58:16 2022	1671883096	0	231	231	231
Sat Dec 24 11:58:15 2022	1671883095	0	231	231	231
Sat Dec 24 11:58:17 2022	1671883097	0	231	231	231
Sat Dec 24 11:58:17 2022	1671883097	0	231	231	231
Sat Dec 24 11:58:15 2022	1671883095	0	231	231	231
Sat Dec 24 11:58:20 2022	1671883100	0	231	231	231
Sat Dec 24 11:58:17 2022	1671883097	0	231	231	231
Sat Dec 24 11:58:15 2022	1671883095	0	231	232	231
Sat Dec 24 11:58:20 2022	1671883100	0	231	232	231
Sat Dec 24 11:58:19 2022	1671883099	0	232	232	231
Sat Dec 24 11:58:16 2022	1671883096	1	231	232	230
Sat Dec 24 11:58:19 2022	1671883099	0	232	232	231
Sat Dec 24 11:58:20 2022	1671883100	0	232	232	232
Sat Dec 24 11:58:16 2022	1671883096	0	232	232	231
Sat Dec 24 11:58:18 2022	1671883098	0	232	232	231
Sat Dec 24 11:58:19 2022	1671883099	0	232	232	232
Sat Dec 24 11:58:17 2022	1671883097	0	232	232	232
Sat Dec 24 11:58:15 2022	1671883095	0	232	232	232
Sat Dec 24 11:58:15 2022	1671883095	0	233	233	232
Sat Dec 24 11:58:20 2022	1671883100	0	233	233	232
Sat Dec 24 11:58:17 2022	1671883097	0	233	233	232
Sat Dec 24 11:58:19 2022	1671883099	0	233	233	232
Sat Dec 24 11:58:15 2022	1671883095	0	233	233	233
Sat Dec 24 11:58:16 2022	1671883096	0	233	233	233
Sat Dec 24 11:58:16 2022	1671883096	0	233	233	233
Sat Dec 24 11:58:18 2022	1671883098	0	233	233	233
Sat Dec 24 11:58:19 2022	1671883099	0	233	233	233
Sat Dec 24 11:58:17 2022	1671883097	0	233	233	233
Sat Dec 24 11:58:19 2022	1671883099	0	234	234	233
Sat Dec 24 11:58:15 2022	1671883095	0	234	234	233
Sat Dec 24 11:58:19 2022	1671883099	0	234	234	233
Sat Dec 24 11:58:15 2022	1671883095	0	234	234	233
Sat Dec 24 11:58:16 2022	1671883096	0	234	234	233
Sat Dec 24 11:58:18 2022	1671883098	0	234	234	233
Sat Dec 24 11:58:20 2022	1671883100	0	234	234	233
Sat Dec 24 11:58:17 2022	1671883097	0	234	234	233
Sat Dec 24 11:58:18 2022	1671883098	0	234	234	230
Sat Dec 24 11:58:15 2022	1671883095	0	234	234	234
Sat Dec 24 11:58:19 2022	1671883099	0	234	234	233
Sat Dec 24 11:58:18 2022	1671883098	0	234	234	234
Sat Dec 24 11:58:17 2022	1671883097	0	234	234	234
Sat Dec 24 11:58:19 2022	1671883099	0	234	234	233
Sat Dec 24 11:58:18 2022	1671883098	0	234	234	234
Sat Dec 24 11:58:15 2022	1671883095	0	234	235	233
Sat Dec 24 11:58:17 2022	1671883097	0	235	235	234
Sat Dec 24 11:58:16 2022	1671883096	0	235	235	234
Sat Dec 24 11:58:17 2022	1671883097	0	235	235	234
Sat Dec 24 11:58:18 2022	1671883098	0	235	235	234
Sat Dec 24 11:58:16 2022	1671883096	0	235	235	234
Sat Dec 24 11:58:18 2022	1671883098	0	235	235	235
Sat Dec 24 11:58:20 2022	1671883100	0	235	235	234
Sat Dec 24 11:58:16 2022	1671883096	0	235	235	235
Sat Dec 24 11:58:19 2022	1671883099	0	235	235	234
Sat Dec 24 11:58:15 2022	1671883095	0	235	235	235
Sat Dec 24 11:58:18 2022	1671883098	0	235	235	235
Sat Dec 24 11:58:19 2022	1671883099	0	235	236	235
